"","r","s","cluster"
"1",12,76,1
"10",10,73,1
"100",11,68,1
"1000",20,73,1
"1001",30,0,2
"1002",18,0,2
"1003",22,0,2
"1004",18,0,2
"1005",18,0,2
"1006",16,0,2
"1007",16,0,2
"1008",20,0,2
"1009",22,0,2
"101",6,102,1
"1010",12,0,2
"1011",16,0,2
"1012",26,0,2
"1013",14,0,2
"1014",26,0,2
"1015",18,0,2
"1016",16,0,2
"1017",16,0,2
"1018",26,0,2
"1019",12,0,2
"102",10,61,1
"1020",20,0,2
"1021",12,0,2
"1022",12,0,2
"1023",14,0,2
"1024",14,0,2
"1025",20,0,2
"1026",30,0,2
"1027",10,0,2
"1028",16,0,2
"1029",16,0,2
"103",8,64,1
"1030",18,0,2
"1031",8,0,2
"1032",22,0,2
"1033",12,0,2
"1034",30,0,2
"1035",16,0,2
"1036",12,0,2
"1037",16,0,2
"1038",20,0,2
"1039",34,0,2
"104",12,50,1
"1040",16,0,2
"1041",22,0,2
"1042",26,0,2
"1043",18,0,2
"1044",30,0,2
"1045",22,0,2
"1046",18,0,2
"1047",20,0,2
"1048",22,0,2
"1049",18,0,2
"105",10,46,1
"1050",20,0,2
"1051",8,0,2
"1052",16,0,2
"1053",22,0,2
"1054",24,0,2
"1055",28,0,2
"1056",10,0,2
"1057",18,0,2
"1058",16,0,2
"1059",14,0,2
"106",6,65,1
"1060",20,0,2
"1061",10,0,2
"1062",26,0,2
"1063",16,0,2
"1064",10,0,2
"1065",20,0,2
"1066",14,0,2
"1067",26,0,2
"1068",16,0,2
"1069",14,0,2
"107",17,58,1
"1070",18,0,2
"1071",20,0,2
"1072",16,0,2
"1073",12,0,2
"1074",10,0,2
"1075",22,0,2
"1076",16,0,2
"1077",26,0,2
"1078",14,0,2
"1079",24,0,2
"108",6,83,1
"1080",10,0,2
"1081",8,0,2
"1082",20,0,2
"1083",12,0,2
"1084",28,0,2
"1085",20,0,2
"1086",22,0,2
"1087",22,0,2
"1088",24,0,2
"1089",18,0,2
"109",13,74,1
"1090",12,0,2
"1091",20,0,2
"1092",22,0,2
"1093",18,0,2
"1094",24,0,2
"1095",20,0,2
"1096",22,0,2
"1097",24,0,2
"1098",8,0,2
"1099",36,0,2
"11",11,67,1
"110",14,63,1
"1100",18,0,2
"1101",20,0,2
"1102",14,0,2
"1103",14,0,2
"1104",26,0,2
"1105",20,0,2
"1106",10,0,2
"1107",20,0,2
"1108",18,0,2
"1109",16,0,2
"111",14,76,1
"1110",22,0,2
"1111",26,0,2
"1112",16,0,2
"1113",16,0,2
"1114",10,0,2
"1115",26,0,2
"1116",12,0,2
"1117",20,0,2
"1118",22,0,2
"1119",26,0,2
"112",9,63,1
"1120",10,0,2
"1121",26,0,2
"1122",18,0,2
"1123",28,0,2
